                                                           Profile results (total time)
Proc Name                                                                                          Self CPU    Total CPU    Real Time        Calls
/obj/machinery/power/solar/proc/occlusion                                                             1.689        1.795        1.826        60544
/datum/gas_mixture/proc/remove                                                                        1.673        2.962        3.030       178288
/obj/machinery/embedded_controller/receive_signal                                                     1.634        4.515        4.794      1061552
/turf/simulated/update_air_properties                                                                 1.599        8.553        8.566       110609
/decl/observ/proc/raise_event                                                                         1.596        4.843        4.908       455328
/datum/controller/air_system/proc/Tick                                                                1.585       16.752       16.783         5092
/datum/gas_mixture/proc/add_thermal_energy                                                            1.583        3.176        3.318       796425
/area/proc/usage                                                                                      1.570        1.627        1.919      3176352
/obj/machinery/atmospherics/unary/build_network                                                       1.554        1.875        2.582      3769968
/obj/machinery/disposal/process                                                                       1.538        1.862        1.963       367472
/mob/living/carbon/human/updateshock                                                                  1.522        4.351        4.379        31596
/datum/controller/air_system/proc/mark_zone_update                                                    1.520        1.582        1.927      2407854
/proc/is_type_in_list                                                                                 1.501        1.507        1.589       345697
/obj/item/organ/proc/can_feel_pain                                                                    1.477        1.522        1.805      1661315
/datum/gas_mixture/proc/(init)                                                                        1.461        1.513        1.768      1377664
/proc/get_mobs_and_objs_in_view_fast                                                                  1.448        1.772        1.778         1095
/datum/pipe_network/proc/reconcile_air                                                                1.446       72.878       72.922       503587
/obj/machinery/porta_turret/process                                                                   1.429       26.089       26.362       218784
/obj/machinery/power/apc/update_icon                                                                  1.417        1.423        1.428         4563
/proc/supermatter_pull                                                                                1.404        1.622        1.623           15
/datum/powernet/proc/draw_power                                                                       1.397        1.738        1.851      1105311
/atom/movable/lighting_overlay/proc/update_overlay                                                    1.394        1.397        1.416       141146
/datum/random_map/automata/proc/cell_is_alive                                                         1.366        1.439        1.820      2918465
/mob/proc/incapacitated                                                                               1.347        1.365        1.449       810854
/obj/machinery/hologram/holopad/process                                                               1.340        1.350        1.499       478366
/datum/gas_mixture/New                                                                                1.323        1.369        1.533      1377664
/obj/machinery/door/airlock/proc/execute_current_command                                              1.272        1.482      132.910      3150800
/obj/machinery/firealarm/process                                                                      1.271        1.289        1.501       718544
/obj/machinery/atmospherics/pipe/return_air                                                           1.256        1.333        1.614      1156229
/datum/pipeline/proc/process                                                                          1.239        2.379        2.566      1058320
/obj/machinery/recharger/process                                                                      1.238        1.385        1.464       381600
/datum/controller/process/mob/doWork                                                                  1.233       77.320       85.407         5092
/obj/machinery/power/apc/avail                                                                        1.230        1.654        1.886      1058784
/turf/proc/ChangeTurf                                                                                 1.217       19.483       19.463        53817
/obj/machinery/air_sensor/process                                                                     1.206        8.650        8.717        72368
/obj/item/organ/process                                                                               1.204        3.859        3.877       192295
/datum/random_map/automata/cave_system/revive_cell                                                    1.199        1.323        1.335       217907
/obj/item/weapon/rig/process                                                                          1.174        1.358        1.359       183312
/turf/Enter                                                                                           1.164        1.573      128.871       100495
/obj/machinery/computer/general_air_control/receive_signal                                            1.146        1.158        1.249       636757
/turf/simulated/floor/asteroid/proc/updateMineralOverlays                                             1.137        1.217        1.197        32591
/obj/machinery/power/apc/draw_power                                                                   1.136        2.785        2.935      1058881
/obj/machinery/power/apc/surplus                                                                      1.112        1.952        2.125      1058784
/datum/controller/processScheduler/proc/queueProcesses                                                1.105        1.165        1.170       310618
/mob/living/carbon/human/proc/handle_medical_side_effects                                             1.090        1.185        1.193        31596
/atom/proc/c_airblock                                                                                 1.080        1.744        1.845       659155
/datum/global_iterator/proc/main                                                                      1.063        3.749        0.000           24
/datum/computer/file/embedded_program/airlock/process                                                 1.058       21.289       21.405       249336
/mob/living/carbon/human/proc/handle_pain                                                             1.048        1.500        1.485        31596
/mob/living/proc/updatehealth                                                                         1.032        1.294        1.301       231900
/obj/machinery/portable_atmospherics/canister/proc/check_change                                       1.027        1.301        1.363       366222
/datum/alarm_handler/proc/process                                                                     1.027        3.249        3.261        25465
/obj/item/organ/external/proc/get_genetic_damage                                                      1.017        1.041        1.162      1043108
/datum/trader/proc/get_possible_item                                                                  0.996        0.996        0.994         1269
/mob/living/proc/handle_statuses                                                                      0.992        1.910        1.988       269651
/obj/machinery/computer/general_air_control/large_tank_control/receive_signal                         0.986        1.854        1.968       552694
/atom/movable/proc/get_mob                                                                            0.980        1.308        2.890     13125122
/datum/controller/game_controller/proc/SetupXenoarch                                                  0.972        1.374        1.374            1
/mob/living/carbon/human/should_have_organ                                                            0.955        0.962        1.008       379341
/obj/machinery/embedded_controller/process                                                            0.949       23.829       23.999       401976
/datum/controller/process/machinery/proc/internal_process_power                                       0.947        8.440        9.018         5088
/obj/machinery/power/smes/process                                                                     0.912        1.252        1.302       147552
/mob/living/carbon/human/updatehealth                                                                 0.892        2.828        2.797        63232
/obj/item/organ/external/proc/is_dislocated                                                           0.889        1.671        1.795       843504
/obj/item/weapon/cell/proc/give                                                                       0.870        1.794        1.851       498388
/obj/machinery/portable_atmospherics/canister/update_icon                                             0.869        2.169        2.204       366222
/datum/radio_frequency/proc/post_signal                                                               0.856       35.685       35.901       160318
/area/beach/proc/process                                                                              0.855        1.705        1.714         1756
/datum/gas_mixture/proc/compare                                                                       0.852        0.975        0.972       106459
/mob/living/carbon/human/handle_chemicals_in_body                                                     0.847        2.798        2.832        31596
/obj/structure/cable/proc/get_connections                                                             0.830        0.885        0.897        55933
/mob/living/carbon/human/getCloneLoss                                                                 0.823        1.486        1.457        63232
/proc/RoundHealth                                                                                     0.809        0.812        0.837        31596
/mob/living/bot/secbot/lookForTargets                                                                 0.809        0.842        0.843         5092
/obj/machinery/power/proc/surplus                                                                     0.808        0.826        0.932      1047154
/mob/living/carbon/human/adjustHalLoss                                                                0.794        1.721        1.730        31596
/mob/living/proc/handle_actions                                                                       0.786        0.797        0.851       273604
/proc/dd_mergeObjectList                                                                              0.781        1.360        1.366        29219
/obj/machinery/atmospherics/binary/pump/process                                                       0.760        1.902        1.988       336953
/obj/item/organ/external/proc/is_parent_dislocated                                                    0.757        0.778        0.877       843504
/proc/blood_incompatible                                                                              0.751        0.762        0.802       189578
/datum/seed/proc/get_trait                                                                            0.743        0.751        0.790       321478
/obj/machinery/atmospherics/portables_connector/process                                               0.732        1.950        2.145       605472
/mob/living/carbon/slime/proc/handle_speech_and_mood                                                  0.731        1.203        1.202        10184
/datum/pipe_network/proc/process                                                                      0.722       73.630       73.886      1334821
/obj/machinery/atmospherics/pipe/simple/process                                                       0.710       19.731       19.776       178988
/obj/machinery/power/proc/add_avail                                                                   0.689        0.712        0.791      1366585
/obj/machinery/airlock_sensor/process                                                                 0.681        2.509        2.565       254400
/mob/living/simple_animal/cat/Life                                                                    0.676        1.642        1.638         5092
/obj/machinery/embedded_controller/radio/update_icon                                                  0.676        0.691        0.730       381720
/atom/movable/Move                                                                                    0.674        7.458        7.440       100495
/obj/machinery/status_display/proc/update                                                             0.651        1.439        1.436       223184
/obj/return_air                                                                                       0.650        2.020        2.062       331860
/proc/create_lighting_overlays                                                                        0.648        1.305        1.305            1
/obj/machinery/atmospherics/unary/outlet_injector/receive_signal                                      0.648        0.666        0.727       670361
/obj/machinery/telecomms/process                                                                      0.641        3.296        3.322       162821
/datum/global_iterator/mecha_tank_give_air/process                                                    0.639        2.528        2.543        84768
/atom/movable/lighting_overlay/proc/update_lumcount                                                   0.639        0.647        0.679       347721
/obj/item/organ/proc/handle_rejection                                                                 0.638        1.399        1.411       189578
/turf/return_air                                                                                      0.638        3.231        3.246       125463
/mob/living/carbon/human/proc/handle_stance                                                           0.635        1.553        1.600        31597
/mob/living/carbon/slime/proc/handle_targets                                                          0.614        1.552        1.548        10184
/obj/item/organ/external/proc/remove_pain                                                             0.590        0.937        0.988       347556
/atom/proc/set_light                                                                                  0.590        0.745        0.815       550766
/obj/machinery/alarm/receive_signal                                                                   0.589        0.648        0.673       323802
/datum/computer/file/embedded_program/docking/process                                                 0.585        0.645        0.686       228960
/datum/gas_mixture/proc/specific_entropy_gas                                                          0.584        0.592        0.611       225031
/datum/gas_mixture/proc/adjust_gas                                                                    0.578        0.603        0.658       706624
/datum/random_map/noise/ore/apply_to_turf                                                             0.574        0.617        0.697         4225
/obj/machinery/atmospherics/binary/dp_vent_pump/update_icon                                           0.574        0.753        0.752        10183
/obj/machinery/status_display/proc/remove_display                                                     0.573        1.063        1.161       413264
/mob/living/carbon/human/handle_regular_status_updates                                                0.570        6.800        6.714        31596
/obj/machinery/atmospherics/portables_connector/build_network                                         0.565        0.601        0.707       605864
/obj/machinery/atmospherics/binary/passive_gate/process                                               0.564        1.843        1.854        76320
/proc/AStar                                                                                           0.560        2.081        2.077           94
/obj/item/organ/internal/heart/proc/handle_blood                                                      0.560        0.725        0.734        31596
/mob/living/simple_animal/hostile/proc/ListTargets                                                    0.554        0.554        0.557         5618
/obj/machinery/power/apc/proc/attempt_charging                                                        0.551        0.570        0.724      1058784
/proc/scrub_gas                                                                                       0.543        0.551        0.578       108026
/mob/living/carbon/human/proc/handle_organs                                                           0.536        8.767        8.904        31597
/mob/living/proc/handle_regular_status_updates                                                        0.535        2.205        2.183       226732
/proc/get_thermal_radiation                                                                           0.533        0.543        0.617       780719
/mob/living/carbon/proc/handle_viruses                                                                0.529        0.532        0.541        46872
/obj/machinery/status_display/process                                                                 0.525        2.506        2.564       413264
/obj/machinery/atmospherics/unary/vent_pump/proc/can_pump                                             0.525        0.564        0.725      1285125
/datum/gas_mixture/proc/specific_entropy                                                              0.524        1.062        1.084       127760
/datum/reagents/proc/get_reagent_amount                                                               0.521        0.535        0.644       497321
/area/initialize                                                                                      0.519        3.588        3.588          350
/atom/proc/CanPass                                                                                    0.518        0.552        0.672      1250112
/atom/set_density                                                                                     0.510        0.628        0.666       280420
/atom/proc/reset_plane_and_layer                                                                      0.506        0.510        0.550       264896
/obj/machinery/light/power_change                                                                     0.504        1.475        1.490        87901
/datum/controller/game_controller/proc/setup_objects                                                  0.501       18.400       30.716            1
/area/proc/clear_usage                                                                                0.498        0.512        0.591      1058784
/datum/pipe_icon_manager/proc/get_atmos_icon                                                          0.498        0.574        0.580        59976
/obj/item/proc/generate_blood_overlay                                                                 0.497        0.502        0.502           10
/mob/living/carbon/human/Life                                                                         0.496       43.501       43.540        31596
/turf/space/initialize                                                                                0.492        1.116        1.140       349928
/obj/machinery/computer/process                                                                       0.486        0.529        0.717       844615
/obj/machinery/recharge_station/process                                                               0.482        1.070        1.086       109120
/obj/machinery/atmospherics/pipe/simple/update_icon                                                   0.478        0.660        0.662        22489
/atom/movable/proc/forceMove                                                                          0.478        5.192        5.221        44039
/datum/gas_mixture/proc/subtract                                                                      0.477        0.887        0.918       133329
/obj/machinery/light_switch/powered                                                                   0.477        1.864        1.922       552558
/mob/living/carbon/human/getHalLoss                                                                   0.471        2.730        2.675        32197
/icon/proc/Blend                                                                                      0.467        0.468        0.468          959
/mob/living/carbon/human/handle_mutations_and_radiation                                               0.467        0.980        0.963        31596
/mob/living/Move                                                                                      0.466        7.956        7.934        46993
/datum/light_source/proc/remove_lum                                                                   0.464        0.762        0.761        12011
/area/proc/get_cameras                                                                                0.462        0.462        0.470          338
/datum/gas_mixture/proc/copy_from                                                                     0.456        0.915        0.937       166778
/obj/screen/movable/ability_master/proc/update_spells                                                 0.456        0.462        0.505       277653
/proc/between                                                                                         0.448        0.484        0.672      1519774
/proc/calculate_transfer_moles                                                                        0.444        0.943        0.970        93785
/mob/living/update_canmove                                                                            0.444        5.523        5.530       268553
/obj/machinery/computer/update_icon                                                                   0.437        0.446        0.453         1136
/mob/Life                                                                                             0.435        0.905        0.949       277653
/proc/DirBlockedWithAccess                                                                            0.429        0.472        0.479       150127
/obj/item/organ/external/is_broken                                                                    0.428        0.453        0.522       843504
/mob/living/carbon/proc/handle_chemical_smoke                                                         0.426        0.443        0.459        15798
/mob/living/set_stat                                                                                  0.424        0.555        0.575       255116
/datum/random_map/automata/cave_system/kill_cell                                                      0.423        0.477        0.493       107218
/obj/effect/decal/cleanable/blood/process                                                             0.413        0.477        0.580       372383
/proc/getCardinalAirInfo                                                                              0.413        0.526        0.536        21462
/obj/machinery/portable_atmospherics/powered/pump/process                                             0.405        1.454        1.476       142464
/datum/reagents/metabolism/proc/metabolize                                                            0.402        0.516        0.558       140616
/mob/living/carbon/human/getFireLoss                                                                  0.397        0.398        0.390        32640
/mob/living/simple_animal/mouse/Life                                                                  0.396       12.696       12.700       150352
/obj/machinery/power/proc/avail                                                                       0.386        0.394        0.480      1047157
/mob/living/proc/handle_disabilities                                                                  0.386        1.447        1.473       269651
/turf/New                                                                                             0.379        0.397        0.399          953
/obj/machinery/atmospherics/pipe/manifold4w/update_icon                                               0.369        0.778        0.778          303
/datum/alarm_handler/proc/check_alarm_cleared                                                         0.368        0.384        0.451       538258
/datum/random_map/proc/apply_to_turf                                                                  0.367       19.972       19.972        65025
/atom/movable/initialize                                                                              0.363        2.027        2.109       172809
/obj/machinery/power/smes/proc/restore                                                                0.356        0.536        0.531        67215
/obj/machinery/telecomms/proc/checkheat                                                               0.356        2.154        2.169       162821
/obj/item/organ/internal/lungs/proc/handle_breath                                                     0.352        0.909        0.904        15798
/obj/item/organ/proc/is_preserved                                                                     0.348        0.351        0.376       192295
/proc/pump_gas                                                                                        0.344        2.391        2.428        64693
/datum/controller/process/lighting/doWork                                                             0.340        5.199       28.201        19399
/mob/living/proc/handle_impaired_hearing                                                              0.337        0.527        0.577       269651
/datum/gas_mixture/proc/check_recombustability                                                        0.336        0.337        0.356        86650
/proc/LinkBlockedWithAccess                                                                           0.333        0.804        0.806        75087
/obj/item/weapon/gun/energy/process                                                                   0.333        0.345        0.392       239324
/datum/computer/file/embedded_program/docking/airlock/receive_signal                                  0.319        0.710        0.737       119755
/obj/item/organ/proc/handle_germ_effects                                                              0.318        0.464        0.497       189656
/mob/living/carbon/human/proc/handle_hud_list                                                         0.316        1.143        1.154        31597
/proc/testing                                                                                         0.312        0.312        0.309          152
/atom/set_dir                                                                                         0.312        0.555        0.594       170902
/mob/living/carbon/human/update_icons                                                                 0.311        0.325        0.326          133
/obj/item/organ/external/is_usable                                                                    0.311        0.457        0.495       126349
/mob/living/carbon/human/handle_environment                                                           0.310        0.365        0.364        31596
/proc/dview                                                                                           0.310        0.320        0.324         1095
/obj/item/organ/proc/handle_antibiotics                                                               0.292        0.461        0.506       189656
/atom/movable/Move                                                                                    0.291        8.997        8.986       126001
/datum/geosample/proc/UpdateTurf                                                                      0.290        0.291        0.296        39204
/obj/machinery/atmospherics/unary/vent_pump/proc/get_pressure_delta                                   0.287        0.382        0.399       150693
/proc/replace_characters                                                                              0.279        0.285        0.293       106195
/proc/getFlatIcon                                                                                     0.276        1.082        1.083          265
/turf/simulated/wall/update_icon                                                                      0.276        0.276        0.275          587
/obj/machinery/portable_atmospherics/powered/pump/update_icon                                         0.275        0.276        0.271        15267
/obj/machinery/door/airlock/proc/send_status                                                          0.275        7.149        7.218        48824
/icon/proc/GetPixel                                                                                   0.274        0.277        0.289       115368
/mob/living/carbon/human/getBrainLoss                                                                 0.273        0.530        0.543       126406
/mob/proc/reset_layer                                                                                 0.272        0.779        0.803       268530
/zone/proc/add                                                                                        0.271        2.710        2.706        68716
/obj/machinery/cell_charger/process                                                                   0.269        0.317        0.332        96672
/mob/living/carbon/human/getToxLoss                                                                   0.268        0.353        0.398       161827
/obj/machinery/proc/update_use_power                                                                  0.268        0.302        0.475       879273
/mob/living/proc/handle_impaired_vision                                                               0.268        0.272        0.292       269651
/datum/controller/processScheduler/proc/recordRunTime                                                 0.263        0.265        0.269       134041
